,company_name,company_number,date_filed,doc_type,description,made_up_to,ixbrl,current_year,previous_year
0,AXIAL MEDICAL PRINTING LIMITED,NI618621,06 May 2020,AA,Total exemption full accounts,31 December 2019,Yes,2019.0,2018.0
1,AXIAL MEDICAL PRINTING LIMITED,NI618621,05 Dec 2019,AA,Micro company accounts,31 December 2018,Yes,2018.0,2017.0
2,AXIAL MEDICAL PRINTING LIMITED,NI618621,11 May 2018,AA,Micro company accounts,31 December 2017,Yes,2017.0,2016.0
3,AXIAL MEDICAL PRINTING LIMITED,NI618621,31 Aug 2017,AA,Total exemption small company accounts,30 November 2016,Yes,2016.0,2015.0
4,AXIAL MEDICAL PRINTING LIMITED,NI618621,09 Mar 2016,AA,Total exemption small company accounts,30 November 2015,Yes,2015.0,2014.0
5,AXIAL MEDICAL PRINTING LIMITED,NI618621,26 Feb 2015,AA,Accounts for a dormant company,31 May 2014,No,2014.0,2013.0
6,RE-VANA THERAPEUTICS LTD,NI638333,08 Jan 2020,AA,Micro company accounts,31 May 2019,Yes,2019.0,2018.0
7,RE-VANA THERAPEUTICS LTD,NI638333,07 Feb 2019,AA,Micro company accounts,31 May 2018,Yes,2018.0,2017.0
8,RE-VANA THERAPEUTICS LTD,NI638333,08 Feb 2018,AA,Micro company accounts,31 May 2017,Yes,2017.0,2016.0
9,CLOUDSMITH LTD,NI653568,26 Feb 2020,AA,Total exemption full accounts,30 June 2019,No,2019.0,2018.0
10,KRAYDEL LIMITED,NI638874,31 Mar 2020,AA,Micro company accounts,31 December 2019,Yes,2019.0,2018.0
11,KRAYDEL LIMITED,NI638874,17 Oct 2019,AA,Micro company accounts,30 June 2019,Yes,2019.0,2018.0
12,KRAYDEL LIMITED,NI638874,03 Sep 2018,AA,Micro company accounts,30 June 2018,Yes,2018.0,2017.0
13,KRAYDEL LIMITED,NI638874,16 Aug 2017,AA,Micro company accounts,30 June 2017,Yes,2017.0,2016.0
14,DEVENISH NUTRITION LIMITED,NI003138,03 Mar 2020,AA,Full accounts,31 May 2019,No,2019.0,2018.0
15,DEVENISH NUTRITION LIMITED,NI003138,04 Mar 2019,AA,Full accounts,31 May 2018,No,2018.0,2017.0
16,DEVENISH NUTRITION LIMITED,NI003138,05 Mar 2018,AA,Full accounts,31 May 2017,No,2017.0,2016.0
17,DEVENISH NUTRITION LIMITED,NI003138,02 Mar 2017,AA,Full accounts,31 May 2016,No,2016.0,2015.0
18,DEVENISH NUTRITION LIMITED,NI003138,02 Mar 2016,AA,Full accounts,31 May 2015,No,2015.0,2014.0
19,DEVENISH NUTRITION LIMITED,NI003138,05 Mar 2015,AA,Full accounts,31 May 2014,No,2014.0,2013.0
20,DEVENISH NUTRITION LIMITED,NI003138,03 Mar 2014,AA,Full accounts,31 May 2013,No,2013.0,2012.0
21,DEVENISH NUTRITION LIMITED,NI003138,02 Apr 2013,AA,Full accounts,31 May 2012,No,2012.0,2011.0
22,DEVENISH NUTRITION LIMITED,NI003138,02 Feb 2012,AA,Full accounts,31 May 2011,No,2011.0,2010.0
23,DEVENISH NUTRITION LIMITED,NI003138,23 Feb 2011,AA,Full accounts,31 May 2010,No,2010.0,2009.0
24,DEVENISH NUTRITION LIMITED,NI003138,01 Feb 2010,AA,Full accounts,31 May 2009,No,2009.0,2008.0
25,AUTOMATED INTELLIGENCE LIMITED,NI603151,29 May 2019,AA,Accounts for a small company,30 June 2018,No,2018.0,2017.0
26,AUTOMATED INTELLIGENCE LIMITED,NI603151,03 Nov 2017,AA,Accounts for a small company,30 June 2017,No,2017.0,2016.0
27,AUTOMATED INTELLIGENCE LIMITED,NI603151,27 Oct 2016,AA,Total exemption small company accounts,30 June 2016,No,2016.0,2015.0
28,AUTOMATED INTELLIGENCE LIMITED,NI603151,09 Dec 2015,AA,Total exemption small company accounts,30 June 2015,No,2015.0,2014.0
29,AUTOMATED INTELLIGENCE LIMITED,NI603151,01 Apr 2015,AA,Total exemption small company accounts,30 June 2014,No,2014.0,2013.0
30,AUTOMATED INTELLIGENCE LIMITED,NI603151,04 Apr 2014,AA,Total exemption small company accounts,30 June 2013,No,2013.0,2012.0
31,AUTOMATED INTELLIGENCE LIMITED,NI603151,26 Mar 2013,AA,Total exemption small company accounts,30 June 2012,No,2012.0,2011.0
32,AUTOMATED INTELLIGENCE LIMITED,NI603151,14 Feb 2012,AA,Total exemption small company accounts,30 June 2011,No,2011.0,2010.0
33,BT48.COM LTD,NI612448,20 Dec 2019,AA,Micro company accounts,31 March 2019,Yes,2019.0,2018.0
34,BT48.COM LTD,NI612448,20 Dec 2018,AA,Micro company accounts,31 March 2018,Yes,2018.0,2017.0
35,BT48.COM LTD,NI612448,21 Dec 2017,AA,Micro company accounts,31 March 2017,Yes,2017.0,2016.0
36,BT48.COM LTD,NI612448,21 Dec 2016,AA,Total exemption small company accounts,31 March 2016,Yes,2016.0,2015.0
37,BT48.COM LTD,NI612448,23 Dec 2015,AA,Total exemption small company accounts,31 March 2015,Yes,2015.0,2014.0
38,BT48.COM LTD,NI612448,23 Oct 2014,AA,Total exemption small company accounts,31 March 2014,No,2014.0,2013.0
39,BT48.COM LTD,NI612448,29 Oct 2013,AA,Total exemption small company accounts,31 March 2013,No,2013.0,2012.0
40,SKURIO LIMITED,NI064091,09 Jan 2020,AA,Full accounts,31 March 2019,No,2019.0,2018.0
41,SKURIO LIMITED,NI064091,18 Dec 2018,AA,Full accounts,31 March 2018,No,2018.0,2017.0
42,SKURIO LIMITED,NI064091,06 Oct 2017,AA,Full accounts,31 March 2017,No,2017.0,2016.0
43,SKURIO LIMITED,NI064091,04 Jan 2017,AA,Full accounts,31 March 2016,No,2016.0,2015.0
44,SKURIO LIMITED,NI064091,16 Nov 2015,AA,Total exemption small company accounts,31 March 2015,Yes,2015.0,2014.0
45,SKURIO LIMITED,NI064091,18 Dec 2014,AA,Total exemption small company accounts,31 March 2014,No,2014.0,2013.0
46,SKURIO LIMITED,NI064091,02 Sep 2013,AA,Total exemption small company accounts,31 March 2013,No,2013.0,2012.0
47,SKURIO LIMITED,NI064091,31 Oct 2012,AA,Total exemption small company accounts,31 March 2012,No,2012.0,2011.0
48,SKURIO LIMITED,NI064091,03 Jan 2012,AA,Total exemption small company accounts,31 March 2011,No,2011.0,2010.0
49,SKURIO LIMITED,NI064091,04 Jan 2011,AA,Total exemption small company accounts,31 March 2010,No,2010.0,2009.0
50,SKURIO LIMITED,NI064091,31 Jan 2010,AA,Total exemption small company accounts,31 March 2009,No,2009.0,2008.0
51,NEUROVALENS LIMITED,NI617853,22 Jun 2020,AA,Total exemption full accounts,31 December 2019,Yes,2019.0,2018.0
52,NEUROVALENS LIMITED,NI617853,23 Sep 2019,AA,Total exemption full accounts,31 December 2018,Yes,2018.0,2017.0
53,NEUROVALENS LIMITED,NI617853,29 Oct 2018,AA,Total exemption full accounts,31 December 2017,Yes,2017.0,2016.0
54,NEUROVALENS LIMITED,NI617853,05 Dec 2017,AA,Micro company accounts,30 April 2017,Yes,2017.0,2016.0
55,NEUROVALENS LIMITED,NI617853,30 Jan 2017,AA,Total exemption small company accounts,30 April 2016,Yes,2016.0,2015.0
56,NEUROVALENS LIMITED,NI617853,26 Jan 2016,AA,Total exemption small company accounts,30 April 2015,Yes,2015.0,2014.0
57,NEUROVALENS LIMITED,NI617853,07 Jan 2015,AA,Accounts for a dormant company,30 April 2014,No,2014.0,2013.0
58,BANDOR INC LIMITED,NI653723,04 Feb 2020,AA,Accounts for a dormant company,30 June 2019,Yes,2019.0,2018.0
59,ARDNALEA HOUSE APARTMENTS LIMITED,NI034264,11 Jun 2020,AA,Accounts for a dormant company,31 May 2020,Yes,2020.0,2019.0
60,ARDNALEA HOUSE APARTMENTS LIMITED,NI034264,05 Jun 2019,AA,Accounts for a dormant company,31 May 2019,Yes,2019.0,2018.0
61,ARDNALEA HOUSE APARTMENTS LIMITED,NI034264,21 Jan 2019,AA,Accounts for a dormant company,31 May 2018,Yes,2018.0,2017.0
62,ARDNALEA HOUSE APARTMENTS LIMITED,NI034264,02 Jun 2017,AA,Accounts for a dormant company,31 May 2017,Yes,2017.0,2016.0
63,ARDNALEA HOUSE APARTMENTS LIMITED,NI034264,01 Jun 2016,AA,Accounts for a dormant company,31 May 2016,Yes,2016.0,2015.0
64,ARDNALEA HOUSE APARTMENTS LIMITED,NI034264,01 Jun 2015,AA,Accounts for a dormant company,31 May 2015,Yes,2015.0,2014.0
65,ARDNALEA HOUSE APARTMENTS LIMITED,NI034264,11 Jun 2014,AA,Accounts for a dormant company,31 May 2014,No,2014.0,2013.0
66,ARDNALEA HOUSE APARTMENTS LIMITED,NI034264,21 Jan 2014,AA,Accounts for a dormant company,31 May 2013,No,2013.0,2012.0
67,ARDNALEA HOUSE APARTMENTS LIMITED,NI034264,20 Jun 2012,AA,Accounts for a dormant company,31 May 2012,No,2012.0,2011.0
68,ARDNALEA HOUSE APARTMENTS LIMITED,NI034264,15 Sep 2011,AA,Accounts for a dormant company,31 May 2011,No,2011.0,2010.0
69,ARDNALEA HOUSE APARTMENTS LIMITED,NI034264,22 Oct 2010,AA,Total exemption small company accounts,31 May 2010,No,2010.0,2009.0
70,ARDNALEA HOUSE APARTMENTS LIMITED,NI034264,28 Oct 2009,AA,Total exemption small company accounts,31 May 2009,No,2009.0,2008.0
71,BRAINWAVEBANK LTD.,NI628481,16 Jan 2020,AA,Micro company accounts,31 December 2019,Yes,2019.0,2018.0
72,BRAINWAVEBANK LTD.,NI628481,05 Apr 2019,AA,Micro company accounts,31 December 2018,Yes,2018.0,2017.0
73,BRAINWAVEBANK LTD.,NI628481,27 Nov 2018,AA,Micro company accounts,31 March 2018,Yes,2018.0,2017.0
74,BRAINWAVEBANK LTD.,NI628481,06 Sep 2017,AA,Micro company accounts,31 March 2017,Yes,2017.0,2016.0
75,BRAINWAVEBANK LTD.,NI628481,20 Jun 2016,AA,Total exemption full accounts,31 March 2016,No,2016.0,2015.0
76,BRAINWAVEBANK LTD.,NI628481,03 Dec 2015,AA,Micro company accounts,31 March 2015,Yes,2015.0,2014.0
77,BROOKLANDS ALTNAGELVIN NO.2 LIMITED,NI633404,28 Jun 2019,AA,Micro company accounts,30 September 2018,Yes,2018.0,2017.0
78,BROOKLANDS ALTNAGELVIN NO.2 LIMITED,NI633404,29 Jun 2018,AA,Micro company accounts,30 September 2017,Yes,2017.0,2016.0
79,BROOKLANDS ALTNAGELVIN NO.2 LIMITED,NI633404,31 May 2017,AA,Accounts for a dormant company,30 September 2016,Yes,2016.0,2015.0
80,LIOPA LTD,NI635074,30 Sep 2019,AA,Micro company accounts,31 December 2018,Yes,2018.0,2017.0
81,LIOPA LTD,NI635074,22 Aug 2018,AA,Micro company accounts,31 December 2017,Yes,2017.0,2016.0
82,LIOPA LTD,NI635074,25 Aug 2017,AA,Total exemption small company accounts,31 December 2016,Yes,2016.0,2015.0
